country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
Russia,2002,Europe,1.506788,424.116,702.703,314.772,10.325,1781424717824.0,12206.59720919152,0.072
Russia,2003,Europe,1.537018,425.963,735.376,308.711,10.542,1955876044800.0,13415.318503240363,0.072
Russia,2004,Europe,1.543957,416.376,743.405,309.318,10.635,2143914688512.0,14767.277175836516,0.073
Russia,2005,Europe,1.562577,417.916,746.183,320.02,10.806,2331247116288.0,16122.276393746495,0.074
Russia,2006,Europe,1.623002,437.859,766.955,335.529,11.263,2576148332544.0,17877.138187810437,0.074
Russia,2007,Europe,1.623781,423.047,779.354,326.463,11.287,2858759225344.0,19871.846348814863,0.075
Russia,2008,Europe,1.652064,451.93,779.724,343.698,11.488,3078094323712.0,21403.62316990114,0.076
Russia,2009,Europe,1.545034,419.075,732.688,323.009,10.739,2903690444800.0,20182.85955298402,0.077
Russia,2010,Europe,1.632783,419.276,794.593,333.87,11.344,3105249296384.0,21574.0492151192,0.077
Russia,2011,Europe,1.68591,430.352,817.72,346.176,11.704,3306765942784.0,22956.67753600779,0.078
Russia,2012,Europe,1.701268,445.326,807.072,353.791,11.791,3439833120768.0,23839.550274229117,0.079
Russia,2013,Europe,1.640437,408.194,782.85,357.04,11.344,3500216680448.0,24205.514449707654,0.08
Russia,2014,Europe,1.6399590000000002,397.222,775.338,385.79,11.316,3525987794944.0,24329.634449799694,0.081
Russia,2015,Europe,1.638675,417.405,739.506,408.673,11.277,3456429719552.0,23786.983322931377,0.082
Russia,2016,Europe,1.634885,405.877,753.005,403.595,11.215,3463124090880.0,23756.04136487211,0.082
Russia,2017,Europe,1.6661210000000002,389.27,780.664,417.49,11.397,3526353747968.0,24122.24460736537,0.083
Russia,2018,Europe,1.712494,401.062,828.859,395.445,11.695,3625347448832.0,24758.20398399245,0.084
Russia,2019,Europe,1.705031,395.101,807.388,402.824,11.636,3705035816960.0,25284.640483902254,0.085
Russia,2020,Europe,1.632929,367.669,784.291,384.939,11.156,3606716612608.0,24640.87416791488,0.086
Russia,2021,Europe,1.711993,382.146,854.064,376.578,11.739,3809571241984.0,26122.265757112713,0.087
Russia,2022,Europe,1.80219,428.488,887.432,386.742,12.379,3731440795648.0,25631.56762687484,0.088
South Korea,1992,Asia,0.299905,91.32,9.733,173.971,6.716,687368634368.0,15393.318680602057,0.002
South Korea,1993,Asia,0.3301739999999999,99.62,12.159,189.427,7.356,729369214976.0,16248.746482969218,0.002
South Korea,1994,Asia,0.355695,101.801,16.186,206.573,7.881,791073849344.0,17528.453143949762,0.002
South Korea,1995,Asia,0.383665,105.3,19.574,226.079,8.457,860793733120.0,18973.410100086126,0.002
South Korea,1996,Asia,0.420996,122.689,25.859,239.471,9.225,919812636672.0,20154.2247372904,0.002
South Korea,1997,Asia,0.444968,133.313,31.427,246.07,9.686,967604895744.0,21061.655196633477,0.002
South Korea,1998,Asia,0.378038,137.598,29.399,183.586,8.177,908368084992.0,19648.5125536538,0.003
South Korea,1999,Asia,0.410519,145.635,35.797,200.628,8.828,1004162514944.0,21594.715392746664,0.003
South Korea,2000,Asia,0.439981,163.883,40.204,206.229,9.408,1086261690368.0,23227.2673223888,0.003
South Korea,2001,Asia,0.4556309999999999,174.626,44.163,206.083,9.685,1127616217088.0,23969.667054038917,0.003
South Korea,2002,Asia,0.476065,187.637,49.069,207.116,10.065,1203066634240.0,25435.28685334048,0.003
South Korea,2003,Asia,0.485213,195.319,51.401,205.372,10.212,1229830488064.0,25883.45326595075,0.004
South Korea,2004,Asia,0.491389,203.138,60.234,196.256,10.302,1281243873280.0,26862.10520074648,0.004
South Korea,2005,Asia,0.4986879999999999,209.293,65.27,195.069,10.422,1322354606080.0,27634.464362626102,0.004
South Korea,2006,Asia,0.503478,216.428,67.995,190.054,10.488,1381281431552.0,28772.789385641343,0.004
South Korea,2007,Asia,0.521709,228.427,73.37,187.258,10.829,1446721486848.0,30028.598600169596,0.005
South Korea,2008,Asia,0.532651,253.041,75.924,171.088,11.015,1477425233920.0,30552.783217539836,0.005
South Korea,2009,Asia,0.5378200000000001,262.395,72.171,172.708,11.078,1477640585216.0,30437.515217896733,0.005
South Korea,2010,Asia,0.5943390000000001,295.05,91.541,176.156,12.187,1562822836224.0,32045.19800095675,0.005
South Korea,2011,Asia,0.623443,320.169,98.513,171.469,12.69,1609219833856.0,32755.894667443936,0.006
South Korea,2012,Asia,0.627943,316.99,106.566,170.817,12.66,1647889350656.0,33223.857618952774,0.006
South Korea,2013,Asia,0.6345810000000001,320.644,111.531,168.582,12.674,1700045127680.0,33952.57581528755,0.006
South Korea,2014,Asia,0.629366,331.304,101.445,161.534,12.453,1754480640000.0,34715.343213283275,0.006
